customer_id,nombre,edad,genero,segmento,fecha_registro,saldo_cuenta,limite_credito,score_crediticio,pais_residencia,activo
1000,Cliente_0,41.0,M,silver,2020-01-01 00:00:00,399.5768248886568,6392.338926963324,444.0,Colombia,True
1001,Cliente_1,42.0,M,gold,2020-01-01 12:00:00,3456.013855393625,,809.0,Mexico,True
1002,Cliente_2,59.0,M,basic,2020-01-02 00:00:00,5548.224685128489,21785.149574381667,720.0,Peru,True
1003,Cliente_3,33.0,M,basic,2020-01-02 12:00:00,2494.093302987341,5391.987380065684,384.0,Peru,True
1004,Cliente_4,54.0,F,basic,2020-01-03 00:00:00,3909.963418284838,4989.71812612682,327.0,Mexico,True
1005,Cliente_5,44.0,M,premium,2020-01-03 12:00:00,7257.990601173714,10463.617104119387,474.0,Mexico,False
1006,Cliente_6,54.0,F,silver,2020-01-04 00:00:00,569.7337862300083,6986.6361091108965,536.0,Colombia,True
1007,Cliente_7,51.0,F,basic,2020-01-04 12:00:00,4680.402648355438,25086.161386694104,409.0,Chile,True
1008,Cliente_8,30.0,M,silver,2020-01-05 00:00:00,12236.369918153556,14182.476617021814,785.0,Chile,True
1009,Cliente_9,44.0,M,gold,2020-01-05 12:00:00,1760.848965335821,,687.0,Mexico,True
1010,Cliente_10,29.0,F,basic,2020-01-06 00:00:00,1379.846992233179,17261.585718312366,488.0,Chile,False
1011,Cliente_11,39.0,M,gold,2020-01-06 12:00:00,1374.8378217418415,4792.778838265401,573.0,Chile,True
1012,Cliente_12,66.0,F,premium,2020-01-07 00:00:00,4213.356988564192,8866.97599761872,807.0,Chile,True
1013,Cliente_13,33.0,M,silver,2020-01-07 12:00:00,16277.317557697826,13930.909535973033,544.0,Chile,False
1014,Cliente_14,30.0,F,gold,2020-01-08 00:00:00,35778.711502607555,8132.803057063455,812.0,Chile,True
1015,Cliente_15,37.0,M,gold,2020-01-08 12:00:00,19603.61559180801,3953.8382667237724,334.0,Mexico,True
1016,Cliente_16,50.0,F,silver,2020-01-09 00:00:00,1968.3762964409166,17029.865342136654,560.0,Argentina,True
1017,Cliente_17,50.0,M,silver,2020-01-09 12:00:00,1061.7540345277025,7047.033997732364,561.0,Mexico,True
1018,Cliente_18,45.0,M,basic,2020-01-10 00:00:00,469.1841887529955,10319.209525946115,359.0,Peru,True
1019,Cliente_19,28.0,M,basic,2020-01-10 12:00:00,5091.534731041871,12910.797977442611,399.0,Mexico,True
1020,Cliente_20,36.0,M,basic,2020-01-11 00:00:00,101265.49475146123,27177.278636829415,535.0,Chile,True
1021,Cliente_21,61.0,M,silver,2020-01-11 12:00:00,3818.2874400909736,9541.024275616064,554.0,Peru,True
1022,Cliente_22,17.0,M,silver,2020-01-12 00:00:00,4496.823474777276,1615.0489697452983,339.0,Chile,True
1023,Cliente_23,43.0,M,silver,2020-01-12 12:00:00,2830.536960753994,9374.63400420373,536.0,Mexico,True
